,"GEO_city,state",year,MWE,MWE_Occupation Type_code,MWE_Occupation Type,MWE_Skill Level,MWE_How Paid,cityid,cityname,stateabbrev,statename,statefips,lat,lon,city_pop2019
159,"Cleveland, OH",2019,13.67,350000,Food preparation and serving related occupations,All levels,Full-time,46,Cleveland,OH,Ohio,39,41.5,-81.69,1235072
160,"Cleveland, OH",2019,15.75,370000,Building and grounds cleaning and maintenance occupations,All levels,Full-time,46,Cleveland,OH,Ohio,39,41.5,-81.69,1235072
161,"Cleveland, OH",2019,16.23,390000,Personal care and service occupations,All levels,Full-time,46,Cleveland,OH,Ohio,39,41.5,-81.69,1235072
162,"Cleveland, OH",2019,27.68,410000,Sales and related occupations,All levels,Full-time,46,Cleveland,OH,Ohio,39,41.5,-81.69,1235072
163,"Cleveland, OH",2019,20.52,430000,Office and administrative support occupations,All levels,Full-time,46,Cleveland,OH,Ohio,39,41.5,-81.69,1235072
164,"Cleveland, OH",2019,26.86,470000,Construction and extraction occupations,All levels,Full-time,46,Cleveland,OH,Ohio,39,41.5,-81.69,1235072
165,"Cleveland, OH",2019,23.99,490000,"Installation, maintenance, and repair occupations",All levels,Full-time,46,Cleveland,OH,Ohio,39,41.5,-81.69,1235072
166,"Cleveland, OH",2019,19.91,510000,Production occupations,All levels,Full-time,46,Cleveland,OH,Ohio,39,41.5,-81.69,1235072
167,"Cleveland, OH",2019,19.59,530000,Transportation and material moving occupations,All levels,Full-time,46,Cleveland,OH,Ohio,39,41.5,-81.69,1235072
168,"Colorado Springs, CO",2019,57.46,110000,Management occupations,All levels,Full-time,52,Colorado Springs,CO,Colorado,8,38.83,-104.82,720403
169,"Colorado Springs, CO",2019,22.08,130000,Business and financial operations occupations,Level 06,All workers,52,Colorado Springs,CO,Colorado,8,38.83,-104.82,720403
170,"Colorado Springs, CO",2019,46.67,150000,Computer and mathematical occupations,All levels,Full-time,52,Colorado Springs,CO,Colorado,8,38.83,-104.82,720403
171,"Colorado Springs, CO",2019,45.76,170000,Architecture and engineering occupations,All levels,Full-time,52,Colorado Springs,CO,Colorado,8,38.83,-104.82,720403
172,"Colorado Springs, CO",2019,33.70,190000,"Life, physical, and social science occupations",All levels,Full-time,52,Colorado Springs,CO,Colorado,8,38.83,-104.82,720403
173,"Colorado Springs, CO",2019,24.75,210000,Community and social service occupations,All levels,Full-time,52,Colorado Springs,CO,Colorado,8,38.83,-104.82,720403
174,"Colorado Springs, CO",2019,44.71,230000,Legal occupations,All levels,Full-time,52,Colorado Springs,CO,Colorado,8,38.83,-104.82,720403
175,"Colorado Springs, CO",2019,25.04,250000,Educational instruction and library occupations,All levels,Full-time,52,Colorado Springs,CO,Colorado,8,38.83,-104.82,720403
176,"Colorado Springs, CO",2019,27.37,270000,"Arts, design, entertainment, sports, and media occupations",All levels,Full-time,52,Colorado Springs,CO,Colorado,8,38.83,-104.82,720403
177,"Colorado Springs, CO",2019,38.84,290000,Healthcare practitioners and technical occupations,All levels,Full-time,52,Colorado Springs,CO,Colorado,8,38.83,-104.82,720403
178,"Colorado Springs, CO",2019,16.82,310000,Healthcare support occupations,All levels,Full-time,52,Colorado Springs,CO,Colorado,8,38.83,-104.82,720403
179,"Colorado Springs, CO",2019,25.45,330000,Protective service occupations,All levels,Full-time,52,Colorado Springs,CO,Colorado,8,38.83,-104.82,720403
180,"Colorado Springs, CO",2019,14.69,350000,Food preparation and serving related occupations,All levels,Full-time,52,Colorado Springs,CO,Colorado,8,38.83,-104.82,720403
181,"Colorado Springs, CO",2019,15.08,370000,Building and grounds cleaning and maintenance occupations,All levels,Full-time,52,Colorado Springs,CO,Colorado,8,38.83,-104.82,720403
182,"Colorado Springs, CO",2019,16.35,390000,Personal care and service occupations,All levels,Full-time,52,Colorado Springs,CO,Colorado,8,38.83,-104.82,720403
183,"Colorado Springs, CO",2019,25.90,410000,Sales and related occupations,All levels,Full-time,52,Colorado Springs,CO,Colorado,8,38.83,-104.82,720403
